Distance (km),Duration (min),Travel Way,Mileage (km/l)
20.99,54.75,1.0,42.52
22.82,48.9,1.0,42.23
5.37,4.81,0.0,46.41
5.39,3.99,0.0,47.79
6.4,5.57,0.0,48.81
5.91,6.69,0.5,44.9
16.06,41.9,1.0,42.46
19.9,24.88,0.5,43.05
10.98,15.69,0.5,44.22
23.59,52.41,1.0,42.37
24.9,62.24,1.0,42.49
19.27,48.17,1.0,41.72
7.97,17.08,1.0,40.27
18.92,47.29,1.0,42.34
24.69,25.11,0.5,46.0
22.82,28.53,0.5,46.0
17.16,11.44,0.0,48.63
21.2,43.86,1.0,41.72
12.31,10.25,0.0,46.78
9.43,23.57,1.0,39.83
12.05,24.93,1.0,43.6
15.16,16.24,0.5,44.67
13.41,9.81,0.0,48.45
6.33,7.6,0.5,44.85
20.96,20.28,0.0,46.29
17.04,18.25,0.5,44.13
5.4,4.32,0.0,46.91
8.74,20.17,1.0,40.27
10.19,10.03,0.0,48.36
23.4,50.14,1.0,43.6
10.98,8.91,0.0,48.79
18.58,38.44,1.0,42.5
23.73,59.31,1.0,41.69
13.76,28.46,1.0,41.36
17.04,35.26,1.0,43.6
15.38,12.3,0.0,48.27
5.66,11.71,1.0,43.6
24.14,62.97,1.0,41.97
8.76,20.21,1.0,41.23
12.38,35.36,1.0,42.03
13.62,11.19,0.0,47.7
8.37,8.1,0.0,48.83
16.59,35.55,1.0,40.84
22.55,19.33,0.0,48.06
17.37,16.54,0.0,46.05
8.66,7.53,0.0,46.28
15.99,11.03,0.0,48.13
13.64,29.22,1.0,39.88
10.3,11.04,0.5,44.15
12.43,10.81,0.0,48.95
6.86,8.23,0.5,44.03
18.23,37.71,1.0,43.6
17.81,17.23,0.0,48.47
21.79,46.7,1.0,43.6
17.32,22.11,0.5,44.51
10.84,7.65,0.0,47.84
16.51,43.06,1.0,41.69
7.72,21.06,1.0,41.84
6.15,4.5,0.0,48.35
20.16,19.2,0.0,48.67
8.52,5.88,0.0,47.47
17.49,41.97,1.0,41.62
6.16,5.6,0.0,48.42
8.6,19.12,1.0,43.6
19.39,21.95,0.5,43.15
16.14,37.25,1.0,40.82
23.08,16.29,0.0,50.0
21.94,59.84,1.0,42.55
14.8,10.09,0.0,46.73
20.85,59.58,1.0,43.6
7.8,7.8,0.0,48.85
7.08,21.25,1.0,43.6
21.49,49.59,1.0,40.36
12.4,11.27,0.0,47.38
6.75,5.19,0.0,48.21
16.8,13.09,0.0,47.21
10.83,29.54,1.0,42.14
5.25,15.01,1.0,39.91
14.52,21.25,0.5,44.35
22.05,25.44,0.5,42.78
24.5,61.24,1.0,42.48
19.55,13.64,0.0,48.98
19.06,49.72,1.0,41.91
11.84,12.69,0.5,43.18
22.77,28.46,0.5,43.55
16.3,33.73,1.0,41.82
7.47,16.01,1.0,42.03
23.18,19.05,0.0,48.01
17.92,35.84,1.0,43.6
19.12,44.12,1.0,41.7
22.53,17.11,0.0,47.7
15.17,39.56,1.0,43.6
23.52,58.81,1.0,42.28
10.36,29.61,1.0,42.58
22.71,64.89,1.0,43.6
23.17,66.2,1.0,43.6
19.75,51.53,1.0,41.93
9.74,8.12,0.0,46.01
10.98,11.56,0.5,42.57
22.44,32.84,0.5,42.93
24.35,33.98,0.5,44.25
10.09,26.33,1.0,39.78
11.43,8.9,0.0,50.0
12.98,12.98,0.5,46.0
22.91,24.12,0.5,46.0
23.25,46.5,1.0,42.38
10.95,11.13,0.5,44.47
13.94,9.61,0.0,47.72
20.56,61.69,1.0,41.6
5.92,12.7,1.0,40.39
19.93,13.59,0.0,48.91
16.93,36.28,1.0,43.6
24.94,55.42,1.0,41.28
16.66,35.7,1.0,41.98
13.25,11.36,0.0,50.0
6.98,19.03,1.0,42.03
23.76,17.82,0.0,46.32
8.73,6.09,0.0,46.14
9.39,25.61,1.0,39.98
20.96,16.13,0.0,50.0
8.81,8.01,0.0,50.0
9.97,23.92,1.0,41.74
5.34,7.45,0.5,46.0
11.26,7.77,0.0,48.64
15.64,15.14,0.0,46.95
6.53,8.91,0.5,44.83
13.34,29.64,1.0,42.36
22.41,51.71,1.0,43.6
10.26,26.77,1.0,40.92
24.14,65.84,1.0,42.01
22.28,16.3,0.0,50.0
13.33,40.0,1.0,43.6
5.71,16.32,1.0,40.0
10.52,31.56,1.0,42.22
13.97,28.9,1.0,42.45
21.72,16.71,0.0,48.33
13.94,9.29,0.0,50.0
15.69,44.83,1.0,41.99
7.16,5.0,0.0,50.0
17.27,51.81,1.0,39.99
14.49,13.8,0.0,48.27
10.14,12.95,0.5,46.0
9.88,21.16,1.0,41.0
20.42,53.27,1.0,41.8
9.93,7.01,0.0,50.0
20.28,15.6,0.0,50.0
24.49,52.48,1.0,40.96
8.73,6.89,0.0,48.77
24.49,17.71,0.0,48.41
7.54,10.52,0.5,44.36
13.67,39.06,1.0,41.88
14.39,13.08,0.0,48.65
6.07,12.55,1.0,42.27
14.14,36.88,1.0,42.55
17.27,12.64,0.0,48.84
19.76,59.27,1.0,40.22
24.17,65.92,1.0,43.6
18.33,12.5,0.0,48.22
12.06,9.04,0.0,50.0
21.4,16.25,0.0,48.15
11.84,8.45,0.0,50.0
19.21,18.9,0.0,48.45
6.96,15.47,1.0,41.74
14.93,14.22,0.0,47.07
5.51,13.22,1.0,41.62
23.28,63.5,1.0,40.03
12.22,27.15,1.0,41.97
6.98,19.05,1.0,42.47
18.66,39.99,1.0,40.46
20.39,18.26,0.0,48.85
21.91,45.34,1.0,40.89
15.43,18.52,0.5,44.95
12.67,33.06,1.0,42.17
9.97,28.49,1.0,43.6
6.22,8.29,0.5,44.62
18.42,18.42,0.5,44.67
16.79,11.72,0.0,48.93
14.52,30.04,1.0,40.86
9.17,6.88,0.0,50.0
15.88,39.7,1.0,41.23
10.92,27.29,1.0,40.33
15.73,15.73,0.0,46.1
16.91,20.71,0.5,44.62
15.22,15.22,0.0,50.0
16.38,35.1,1.0,41.06
17.54,40.48,1.0,41.64
14.2,35.5,1.0,41.81
24.65,16.81,0.0,48.26
11.12,14.5,0.5,46.0
23.18,60.48,1.0,41.26
5.54,12.77,1.0,40.1
24.1,60.24,1.0,42.52
6.18,13.24,1.0,42.44
18.07,51.63,1.0,42.49
17.07,39.39,1.0,39.83
13.17,13.87,0.5,43.97
21.1,63.31,1.0,42.47
21.84,43.69,1.0,42.18
5.37,4.24,0.0,48.73
21.47,15.91,0.0,48.35
21.92,28.59,0.5,42.18
18.57,53.06,1.0,41.6
18.14,18.45,0.5,43.81
7.58,15.15,1.0,43.6
7.33,10.73,0.5,44.5
13.52,9.44,0.0,48.9
11.89,25.47,1.0,42.36
8.2,7.57,0.0,47.93
15.78,36.43,1.0,41.68
22.45,32.86,0.5,43.1
10.56,31.69,1.0,42.16
12.74,8.59,0.0,48.1
20.98,54.72,1.0,42.17
15.14,11.64,0.0,48.61
22.45,17.72,0.0,50.0
18.89,21.39,0.5,44.87
10.83,9.99,0.0,47.16
5.27,12.64,1.0,40.88
20.23,14.8,0.0,48.21
13.59,33.97,1.0,43.6
10.94,8.63,0.0,48.39
17.53,13.66,0.0,48.15
8.92,20.58,1.0,39.85
21.21,43.88,1.0,42.18
18.35,20.01,0.5,46.0
16.89,50.66,1.0,41.46
13.52,12.67,0.0,50.0
18.37,39.35,1.0,41.41
9.79,23.5,1.0,40.67
11.24,9.92,0.0,48.82
23.97,47.94,1.0,42.11
11.92,35.75,1.0,41.83
6.45,19.34,1.0,43.6
19.31,16.09,0.0,48.67
21.27,14.34,0.0,48.07
7.41,22.22,1.0,40.45
13.01,9.41,0.0,47.99
21.19,57.79,1.0,40.85
17.3,41.52,1.0,42.3
22.88,52.8,1.0,42.26
20.05,27.98,0.5,44.29
14.42,16.02,0.5,44.63
16.78,15.98,0.0,48.87
7.98,7.15,0.0,48.39
18.01,37.26,1.0,41.04
20.56,19.27,0.0,46.31
22.93,18.35,0.0,47.98
10.69,8.22,0.0,50.0
13.28,28.46,1.0,40.37
14.44,41.24,1.0,40.11
8.66,6.5,0.0,48.31
23.8,54.93,1.0,41.12
12.17,31.76,1.0,42.07
22.46,23.24,0.5,44.33
9.83,10.53,0.5,44.14
18.39,55.18,1.0,39.8
8.38,16.75,1.0,43.6
22.64,27.73,0.5,44.05
22.09,18.41,0.0,48.73
22.15,22.15,0.0,48.49
15.22,11.14,0.0,48.62
14.96,19.1,0.5,44.96
20.84,52.1,1.0,43.6
20.91,46.48,1.0,43.6
17.8,50.87,1.0,42.37
20.99,23.32,0.5,44.52
20.44,18.58,0.0,48.74
16.75,15.7,0.0,47.37
19.97,49.94,1.0,42.39
9.58,6.92,0.0,47.9
13.39,10.3,0.0,46.8
14.86,33.03,1.0,40.62
22.54,58.79,1.0,42.1
16.96,36.35,1.0,43.6
12.44,27.64,1.0,41.77
10.09,27.52,1.0,42.53
16.41,15.15,0.0,48.65
14.15,42.44,1.0,41.72
10.4,24.96,1.0,43.6
7.71,11.57,0.5,43.0
16.98,13.58,0.0,46.2
17.36,40.06,1.0,42.39
6.7,19.16,1.0,41.66
9.67,10.01,0.5,42.33
21.62,56.4,1.0,41.68
23.9,21.4,0.0,48.2
19.08,19.4,0.5,43.5
17.46,43.65,1.0,40.21
16.17,11.15,0.0,47.64
15.26,38.14,1.0,43.6
7.34,17.62,1.0,42.31
22.54,27.04,0.5,44.15
20.53,20.53,0.0,50.0
19.72,43.83,1.0,41.87
21.9,45.32,1.0,43.6
13.46,13.02,0.0,46.01
11.92,29.8,1.0,42.35
13.33,34.76,1.0,41.99
19.84,29.04,0.5,43.43
5.45,13.63,1.0,40.51
8.73,19.4,1.0,43.6
20.92,15.13,0.0,48.62
15.35,13.95,0.0,49.0
8.9,6.21,0.0,48.11
19.25,12.83,0.0,46.99
7.17,5.38,0.0,47.36
15.14,11.8,0.0,46.0
15.11,11.48,0.0,48.28
20.18,46.58,1.0,41.75
18.16,49.52,1.0,42.39
5.32,10.63,1.0,41.77
8.94,7.45,0.0,47.02
9.89,26.97,1.0,43.6
15.41,30.81,1.0,41.23
21.91,65.73,1.0,42.19
9.99,7.69,0.0,46.43
12.64,11.15,0.0,48.46
8.31,16.63,1.0,41.86
21.3,29.73,0.5,44.0
9.04,10.05,0.5,44.54
11.25,33.75,1.0,40.59
7.72,10.77,0.5,46.0
11.6,23.21,1.0,43.6
18.62,38.53,1.0,42.3
12.76,15.31,0.5,42.37
12.66,25.33,1.0,42.0
18.07,16.43,0.0,46.6
24.97,49.93,1.0,42.14
14.39,35.97,1.0,41.3
10.8,12.96,0.5,44.38
6.06,6.06,0.5,46.0
11.11,12.58,0.5,44.37
15.38,19.23,0.5,45.0
14.44,10.44,0.0,46.32
15.28,10.66,0.0,50.0
23.92,20.8,0.0,46.2
15.05,18.06,0.5,46.0
10.35,10.35,0.0,48.42
12.01,34.3,1.0,42.0
12.47,25.79,1.0,40.53
20.17,57.64,1.0,42.17
14.28,34.28,1.0,41.7
10.24,9.46,0.0,50.0
13.24,19.38,0.5,42.62
15.2,16.89,0.5,44.67
10.13,21.7,1.0,43.6
17.86,21.44,0.5,43.77
15.37,20.5,0.5,42.93
11.1,25.61,1.0,42.12
5.67,4.36,0.0,50.0
17.75,15.9,0.0,46.99
17.65,40.73,1.0,41.99
14.16,18.47,0.5,43.21
10.32,7.37,0.0,46.1
22.24,15.7,0.0,50.0
22.06,50.91,1.0,42.27
13.86,20.28,0.5,43.73
20.92,14.76,0.0,48.23
24.0,65.47,1.0,43.6
5.24,15.73,1.0,41.85
21.68,25.02,0.5,44.75
18.85,13.79,0.0,48.05
24.66,61.64,1.0,42.08
21.4,51.35,1.0,43.6
8.07,7.01,0.0,48.08
13.68,30.39,1.0,41.81
11.27,16.49,0.5,46.0
16.75,38.66,1.0,41.84
22.63,28.89,0.5,44.28
19.23,52.45,1.0,43.6
15.19,10.24,0.0,48.34
23.18,23.58,0.5,44.91
7.58,5.06,0.0,47.46
8.24,16.48,1.0,41.59
15.89,13.42,0.0,48.54
9.95,29.86,1.0,40.67
16.2,44.19,1.0,43.6
7.78,17.29,1.0,41.7
18.79,45.09,1.0,43.6
12.59,27.99,1.0,42.13
19.9,18.37,0.0,47.97
20.1,26.8,0.5,42.27
18.28,14.25,0.0,46.13
23.94,57.45,1.0,42.3
22.16,63.33,1.0,42.37
18.87,12.72,0.0,47.25
20.36,16.51,0.0,48.99
20.06,19.41,0.0,50.0
17.12,14.47,0.0,48.4
8.81,5.87,0.0,46.79
12.3,17.57,0.5,44.33
11.5,23.79,1.0,42.13
5.2,12.48,1.0,42.22
19.35,27.01,0.5,43.01
12.68,11.88,0.0,48.7
9.38,12.23,0.5,44.42
22.96,45.92,1.0,40.24
23.09,18.23,0.0,48.96
23.37,70.12,1.0,41.42
23.22,66.33,1.0,43.6
11.01,16.51,0.5,46.0
19.56,13.81,0.0,50.0
22.5,44.99,1.0,40.05
9.5,28.5,1.0,42.53
5.16,4.62,0.0,50.0
10.75,14.66,0.5,44.13
15.36,40.07,1.0,41.84
21.64,49.93,1.0,40.9
21.65,48.12,1.0,41.62
5.82,12.47,1.0,41.94
6.58,7.31,0.5,46.0
20.67,17.23,0.0,46.62
7.04,7.41,0.5,44.82
19.69,18.18,0.0,48.89
14.29,15.05,0.5,44.5
16.23,38.95,1.0,41.96
6.11,15.27,1.0,42.27
8.34,5.62,0.0,48.63
13.27,31.84,1.0,42.5
16.19,12.62,0.0,48.62
10.83,30.94,1.0,41.73
14.67,33.85,1.0,42.36
9.41,7.33,0.0,48.65
15.62,13.38,0.0,46.94
5.3,7.23,0.5,42.8
8.71,13.07,0.5,46.0
10.12,7.23,0.0,48.18
10.54,31.62,1.0,40.25
5.7,6.58,0.5,46.0
19.11,49.86,1.0,41.25
8.61,21.52,1.0,42.59
21.32,15.6,0.0,47.13
19.53,19.21,0.0,46.95
21.2,28.91,0.5,44.3
13.73,10.17,0.0,48.73
24.94,55.41,1.0,42.46
6.9,14.27,1.0,43.6
7.29,19.02,1.0,41.15
17.91,39.81,1.0,43.6
13.92,11.29,0.0,47.26
11.42,7.97,0.0,48.15
15.35,23.03,0.5,44.03
17.35,37.18,1.0,40.4
8.15,5.44,0.0,48.46
16.42,49.26,1.0,40.5
18.13,23.14,0.5,46.0
16.0,34.29,1.0,42.52
23.67,24.91,0.5,43.46
19.53,26.03,0.5,43.07
18.03,16.39,0.0,47.32
7.01,5.84,0.0,50.0
10.15,7.34,0.0,50.0
7.41,17.78,1.0,40.91
14.57,10.53,0.0,50.0
18.6,27.89,0.5,44.09
15.29,10.79,0.0,50.0
6.39,6.29,0.0,50.0
20.14,18.04,0.0,48.72
24.49,58.76,1.0,42.2
17.89,15.12,0.0,48.01
14.01,15.56,0.5,42.75
17.92,19.55,0.5,43.53
15.03,22.55,0.5,42.64
6.86,13.73,1.0,42.51
21.82,54.55,1.0,43.6
19.77,16.71,0.0,50.0
18.05,45.14,1.0,43.6
18.71,15.37,0.0,50.0
17.92,16.8,0.0,48.42
7.35,16.34,1.0,41.79
5.75,11.49,1.0,41.65
18.44,42.56,1.0,41.93
11.08,12.54,0.5,43.49
24.97,17.03,0.0,48.52
8.55,20.51,1.0,43.6
11.69,12.31,0.5,44.01
16.84,37.43,1.0,43.6
23.74,47.49,1.0,42.29
17.44,52.33,1.0,42.15
16.7,45.54,1.0,40.28
23.01,16.05,0.0,48.16
22.78,48.8,1.0,41.96
18.08,41.71,1.0,42.47
6.17,5.7,0.0,50.0
16.79,47.97,1.0,42.42
23.61,25.76,0.5,46.0
22.28,23.45,0.5,44.78
23.09,30.79,0.5,44.79
13.73,34.34,1.0,43.6
12.95,10.5,0.0,50.0
5.91,14.19,1.0,41.1
12.9,12.09,0.0,50.0
8.4,18.66,1.0,43.6
8.96,20.68,1.0,40.22
19.02,24.81,0.5,43.75
7.34,14.69,1.0,43.6
23.51,64.11,1.0,42.33
8.82,7.78,0.0,48.07
5.25,15.0,1.0,42.6
24.36,30.45,0.5,44.83
